"Analytical_Method_ID","Lab_Name","Parameter","Analysis_ID","Analysis_ID_Source","Analysis_Name","CRWA_References","Data_Type","Container_Type","Sample_Volume","Container_Color","Sterile_Bottle","Chemical_Preserv","Thermal_Preserv","Other_Instructions","Holding_Time","MDL","Reporting_Limit","Action_Limit","Matrix"
"Therm-Temp-2012","Field","Temperature","170.1","USEPA","Temperature","QAPP 2010-2012 Revision 1","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","-5°C","0.01°C ","> 83oF (28.3o C) (a-1)","RW, SW"
"Thornstensen-EC","Thorstensen","Escherichia coli","9213D","APHA","E. coli method","QAPP 2007-2009 Revision 2","C","Plastic","100","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","0 CFU/ 100ml","1/100ml","126 cfu/100ml (o)","RW, SW"
"Thorstensen-BOD","Thorstensen","BOD5","2510B","APHA","5 Day Biochemical Oxygen Demand","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","None required","Cool to 4°C","None","6 hrs/48 hrs","0.97 mg/l","1.0 mg/l","110 mg/l (p)","RW, SW"
"Thorstensen-CBOD","Thorstensen","CBOD5","405.1","USEPA","5 Day Carbonaceous Biochemical Oxygen Demand","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","None required","Cool to 4°C","None","6 hrs/48 hrs","0.97 mg/l","1.0 mg/l ","110 mg/l (p)","RW, SW"
"Thorstensen-Cr-D","Thorstensen","Chromium (dissolved)","200.7","USEPA","Metals Analysis by Inductively Coupled Plasma Atomic Emission Spectroscopy","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","filter","Filter on-site, hold up to 6 months","0.01 mg/l","0.02mg/l","0.016 mg/l (v)","RW, SW"
"Thorstensen-Cu-D","Thorstensen","Copper (dissolved)","200.7","USEPA","Metals Analysis by Inductively Coupled Plasma Atomic Emission Spectroscopy","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","filter","Filter on-site, hold up to 6 months","0.02 mg/l","0.02 mg/l","0.013 mg/l (v) ","RW, SW"
"Thorstensen-Ent","Thorstensen","Enterococcus","9230C","APHA","Enterococcus","QAPP 2007-2009 Revision 2","C","Plastic","120","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","<2 MPN/100ml","2/100ml","61 cfu/100ml (p)","RW, SW"
"Thorstensen-FC","Thorstensen","Fecal Coliform","9222D","APHA","Fecal Coliform- Membrane Filter Procedure","QAPP 2007-2009 Revision 2","C","Plastic or Glass","120","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","0/100ml","1/100ml",">200 cfu/100ml ","RW, SW"
"Thorstensen-Na","Thorstensen","Sodium ","200.7","USEPA","Metals Analysis by Inductively Coupled Plasma Atomic Emission Spectroscopy","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","filter","Filter on-site, hold up to 6 months","0.1 mg/l","0.1mg/l","20 mg/l (x)","RW, SW"
"Thorstensen-NH3-D","Thorstensen","Ammonia, Dissolved ","4500-NH3-F","APHA","Ammonia in Water Using Phenate Method","QAPP 2007-2009 Revision 2","C","Plastic","500","NA","NA","H2SO4 to pH < 2","Cool to 4°C","filter ASAP ","48 hrs/28 days","0.01 mg/l","0.03 mg/l","0.3 mg/l (u)","RW, SW"
"Thorstensen-NO2","Thorstensen","Nitrite","300.0","USEPA","Nitrogen, Nitrate-Nitrite (Colorimetric Automated, Cadmium Reduction)","QAPP 2007-2009 Revision 2","C","Plastic","500","NA","NA","None required","Cool to 4°C","None","48 hrs/48 hrs","0.01 mg/l","0.01 mg/l","0.57 mg/l as N (u)","RW, SW"
"Thorstensen-NO3","Thorstensen","Nitrate","353.2","USEPA","Nitrogen, Nitrate-Nitrite (Colorimetric Automated, Cadmium Reduction)","QAPP 2007-2009 Revision 2","C","Plastic","500","NA","NA","None required","Cool to 4°C","None","48 hrs/48 hrs","0.01 mg/l","0.01 mg/l","0.57 mg/l as N (u)","RW, SW"
"Thorstensen-O&G","Thorstensen","Oil & Grease","1664","USEPA","Thorstensen SOP: Oil and Grease","QAPP 2007-2009 Revision 2","C","Glass","500","Amber","NA","HCl or H2SO4 to pH < 2 ","Cool to 4°C","None","Hold up to 14 days ","1.6 mg/l","5 mg/l",">5 mg/l (p)","RW, SW"
"Thorstensen-OP-D","Thorstensen","Orthophosphate, Dissolved","365.2/4500-P-E","USEPA/APHA","Orthophosphate Colorimetric, Single Reagent","QAPP 2007-2009 Revision 2","C","Plastic","100","NA","NA","None required","Cool to 4°C","filter on-site ","48 hrs/48 hrs","0.003 mg/l ","0.01 mg/l ","0.0238 mg/l as P (u)","RW, SW"
"Thorstensen-Pb-D","Thorstensen","Lead (dissolved)","200.7","USEPA","Metals Analysis by Inductively Coupled Plasma Atomic Emission Spectroscopy","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","filter","Filter on-site, hold up to 6 months","0.008 mg/l ","0.05mg/l ","0.065 mg/l (v)","RW, SW"
"Thorstensen-TKN","Thorstensen","Total Kjeldahl Nitrogen (Organic Nitrogen + Ammonia)","351.3/4500-Norg-C","USEPA/APHA","Total Kjeldahl Nitrogen by Colorimetry","QAPP 2007-2009 Revision 2","C","Plastic","500","NA","NA","H2SO4 to pH < 2","Cool to 4°C","None","7 days/28 days","0.05 mg/l ","0.17 mg/l","0.3 mg/l (u)","RW, SW"
"Thorstensen-TN","Thorstensen","Total Nitrogen (TKN + Nitrate + Nitrite)","Thorstensen","NA","NA","QAPP 2007-2009 Revision 2","C","NA","NA","NA","NA","None required","None required","None","NA","NA ","NA","0.57 mg/l (u)","RW, SW"
"Thorstensen-TP","Thorstensen","Total Phosphorus","365.2/4500-P-E","USEPA/APHA","Total Phosphorus in Liquids","QAPP 2007-2009 Revision 2","C","Plastic","250","NA","NA","H2SO4 to pH < 2","Cool to 4°C","None","48 hrs/28 days","0.007 mg/l "," 0.01 mg/l","0.0238 mg/l as P(u)","RW, SW"
"Thorstensen-TSS","Thorstensen","Total Suspended Solids (TSS)","160.2","USEPA","Non-Filterable Residue - TSS","QAPP 2007-2009 Revision 2","C","Plastic","500","NA","NA","None required","Cool to 4°C","None","24 hrs/7 days","1.0 mg/l ","1.2 mg/l","30 mg/l (q) ","RW, SW"
"Thorstensen-Zn-D","Thorstensen","Zinc (dissolved)","200.7","USEPA","Metals Analysis by Inductively Coupled Plasma Atomic Emission Spectroscopy","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","filter","Filter on-site, hold up to 6 months","0.01 mg/l","0.02mg/l","0.12 mg/l (v)","RW, SW"
"YSI 556-DO-2012","YSI 556","Dissolved Oxygen",,,,"QAPP 2010-2012 Revision 1","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0","0.01 mg/l","<5.0 mg/l (a-1)","RW, SW"
"YSI 556-ORP-2012","YSI 556","Oxidation Reduction Potential","YSI 556","NA","Oxidation-Reduction Potential of Water","QAPP 2010-2012 Revision 1","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","-999 mV","0.1 mV","NA","RW, SW"
"YSI 63-pH","YSI 63","pH","150.1","USEPA","pH","QAPP 2007-2009 Revision 2","C, NC","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0","0.01 pH units ","< 6.5 or > 8.3 (o)","RW, SW"
"YSI 63-Salinity","YSI 63","Salinity","2520B","APHA","Salinity in Water- Electrical Conductivity","QAPP 2007-2009 Revision 2","C, NC","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0.1 ppt","0.1ppt","NA","RW, SW"
"YSI 63-SC","YSI 63","Conductivity","2510B","APHA","Conductivity - Laboratory Method","QAPP 2007-2009 Revision 2","C, NC","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0 mS/cm","0.1µS/cm ","NA","RW, SW"
"YSI 63-Temp","YSI 63","Temperature","170.1","USEPA","Temperature","QAPP 2007-2009 Revision 2","C, NC","NA","NA","NA","NA","None required","None required","None","Analyze immediately","-5°C","0.1°C ","> 83°F (28.3°C) (o)","RW, SW"
"YSI 650-Depth-2015","YSI 650","Depth",,,,,"NC","NA","NA","NA","NA","None required","None required",,"Analyze immediately",,,,"RW, SW"
"YSI 650-DO-2015","YSI 650","Dissolved Oxygen",,,,,"NC","NA","NA","NA","NA","None required","None required",,"Analyze immediately","0","0.01 mg/l","<5.0 mg/l (a-1)","RW, SW"
"YSI 650-PCY-2015","YSI 650","Phycocyanin cell count",,,,,"C","NA","NA","NA","NA","None required","None required",,"Analyze immediately","0 cells/mL","1 cell/mL","70,000 cells/ml (m-4), (a-8)","RW, SW"
"YSI 650-PCYRFU-2015","YSI 650","Phycocyanin relative fluorescence units",,,,,"NC","NA","NA","NA","NA","None required","None required",,"Analyze immediately",,,,"RW, SW"
"YSI 650-SC-2015","YSI 650","Specific conductance","2510B","APHA","Conductivity in Water",,"NC","NA","NA","NA","NA","None required","None required",,"Analyze immediately","0 mS/cm","0.1µS/cm","NA","RW, SW"
"YSI 650-Temp-2015","YSI 650","Temperature","170.1","USEPA","Temperature",,"NC","NA","NA","NA","NA","None required","None required",,"Analyze immediately","-5°C","0.1°C","> 83°F (28.3°C) (a-1)","RW, SW"
"YSI 85-DO","YSI 85","Dissolved Oxygen",,,,"QAPP 2007-2009 Revision 2","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0","0.01mg/l","< 5.0 mg/l (o)","RW, SW"
"YSI 85-DO-2012","YSI 85","Dissolved Oxygen","YSI 85","NA","Total Dissolved Oxygen by Membrane ","QAPP 2010-2012 Revision 1","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0","0.01mg/l","< 5.0 mg/l (a-1)","RW, SW"
"YSI 85-Salinity","YSI 85","Salinity","2520B","APHA","Salinity in Water- Electrical Conductivity","QAPP 2007-2009 Revision 2","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0.1 ppt","0.1ppt ","NA","RW, SW"
"YSI 85-Salinity-2012","YSI 85","Salinity","2520B","APHA","Salinity in Water- Electrical Conductivity","QAPP 2010-2012 Revision 1","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0.1 ppt","0.1ppt ","NA","RW, SW"
"YSI 85-SC","YSI 85","Conductivity","2510B","APHA","Conductivity - Laboratory Method","QAPP 2007-2009 Revision 2","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0 mS/cm","0.1µS/cm ","NA","RW, SW"
"YSI 85-SC-2012","YSI 85","Conductivity","2510B","APHA","Conductivity in Water","QAPP 2010-2012 Revision 1","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","0 µS/cm","0.1µS/cm ","NA","RW, SW"
"YSI 85-Temp","YSI 85","Temperature","170.1","USEPA","Temperature","QAPP 2007-2009 Revision 2","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","-5°C","0.1°C ","> 83°F (28.3°C) (o)","RW, SW"
"YSI 85-Temp-2012","YSI 85","Temperature","170.1","USEPA","Temperature","QAPP 2010-2012 Revision 1","C","NA","NA","NA","NA","None required","None required","None","Analyze immediately","-5°C","0.1°C ","> 83°F (28.3°C) (a-1)","RW, SW"
